user_id,name,gender,birth_date,pref,phone_number,email,email_permission_flg,registration_date,status,last_login_at
U00000091,田中 美咲,F,1993-01-23,北海道,019-6826-4125,user91@example.com,False,2020-08-01,active,
U00000031,鈴木 健太,M,1990-03-08,長野県,050-6039-9832,user31@example.com,True,2020-10-28,active,2025-10-31
U00000037,高橋 麻衣,F,2008-03-20,新潟県,018-6356-7007,user37@example.com,False,2020-10-13,inactive,2025-11-12
U00000052,小林 麻衣,F,2013-06-29,神奈川県,019-9978-8462,user52@example.com,False,2020-12-06,active,
U00000092,佐藤 玲奈,F,1970-12-20,福岡県,065-8086-5398,user92@example.com,False,2020-11-01,active,
U00000057,佐藤 由美子,F,1994-08-28,,014-8333-5486,user57@example.com,False,2020-08-30,active,2025-11-26
U00000053,山口 美優,F,1983-01-05,長野県,079-4072-2848,user53@example.com,False,2020-10-10,active,2025-12-24
U00000040,小林 菜々子,F,1991-12-10,長野県,063-2929-8688,user40@example.com,False,2020-09-19,active,
U00000012,加藤 次郎,M,1968-04-07,神奈川県,065-7258-8991,user12@example.com,False,2020-08-28,inactive,2025-11-18
U00000080,渡辺 菜々子,F,1991-01-29,大阪府,030-8360-3365,user80@example.com,False,2020-09-17,active,2026-01-20
U00000042,松本 葵,F,1967-10-02,愛知県,025-5081-2731,user42@example.com,True,2020-09-07,active,
U00000062,田中 恵美,F,1971-01-20,,039-9424-2950,user62@example.com,False,2020-12-21,active,2026-01-07
U00000088,佐藤 玲奈,F,1974-05-21,福岡県,066-1046-6854,user88@example.com,True,2020-12-03,active,
U00000019,松本 誠,M,2011-07-19,京都府,026-3382-9923,user19@example.com,True,2020-10-29,active,2026-01-01
U00000005,中村 拓也,M,1994-01-17,広島県,097-6048-1439,user5@example.com,True,2020-10-19,active,2025-12-17
U00000097,木村 麻衣,F,2001-02-26,京都府,082-2482-2864,user97@example.com,False,2020-08-23,active,2026-01-01
U00000022,伊藤 直樹,M,1998-09-14,兵庫県,086-9384-8685,user22@example.com,False,2020-09-25,active,2026-01-06
U00000018,渡辺 慎太郎,M,1973-09-15,,060-4199-9985,user18@example.com,True,2020-10-27,active,
U00000034,木村 翔太,M,1995-11-21,北海道,072-8651-4840,user34@example.com,True,2020-11-11,active,2026-01-03
U00000073,山口 千春,F,2014-12-12,長野県,020-9467-2297,user73@example.com,False,2020-09-14,active,
U00000067,佐藤 玲奈,F,2003-02-03,神奈川県,026-8474-1355,user67@example.com,False,2021-01-18,active,
U00000098,鈴木 愛子,F,1981-09-20,静岡県,046-1240-4660,user98@example.com,False,2020-10-22,inactive,2025-11-14
U00000027,井上 徹,M,2014-07-16,宮城県,039-8886-7579,user27@example.com,True,2020-09-03,active,
U00000061,小林 恵美,F,1982-04-24,兵庫県,070-4672-8044,user61@example.com,True,2020-11-13,active,
U00000059,小林 花子,F,1983-10-09,埼玉県,033-1085-5946,user59@example.com,False,2020-11-04,active,2025-12-06
U00000014,田中 悠斗,M,2015-11-21,千葉県,016-5251-5618,user14@example.com,True,2020-11-19,active,2025-11-27
U00000002,井上 悠斗,M,1971-03-16,大阪府,089-9251-2998,user2@example.com,True,2020-10-07,active,
U00000021,松本 悠斗,M,1980-07-31,長野県,035-5694-4895,user21@example.com,True,2020-12-03,active,2025-12-02
U00000051,鈴木 真由美,F,2009-09-14,広島県,074-2288-2070,user51@example.com,False,2020-07-29,active,2025-12-06
U00000043,吉田 麻衣,F,1980-11-14,北海道,035-4107-3683,user43@example.com,False,2020-08-26,inactive,
U00000069,山口 麻衣,F,2003-08-20,広島県,010-6503-7111,user69@example.com,True,2020-11-25,inactive,2025-10-28
U00000015,高橋 慎太郎,M,2010-06-12,東京都,060-4878-2785,user15@example.com,False,2020-09-22,active,
